year,eea_cell_code,speciesKey,species,n,min_coord_uncertainty
2001,1kmE3909N3109,2889173,Reynoutria japonica,1,700
2001,1kmE3910N3108,2889173,Reynoutria japonica,1,700
2001,1kmE3913N3110,2889173,Reynoutria japonica,1,700
2001,1kmE3913N3129,2889173,Reynoutria japonica,1,700
2001,1kmE3913N3139,2889173,Reynoutria japonica,1,700
2001,1kmE3915N3114,2889173,Reynoutria japonica,1,700
2001,1kmE3915N3141,2889173,Reynoutria japonica,1,700
2001,1kmE3916N3065,2889173,Reynoutria japonica,1,707
2001,1kmE3916N3126,2889173,Reynoutria japonica,2,700
2001,1kmE3917N3075,2889173,Reynoutria japonica,1,707
2001,1kmE3917N3077,2889173,Reynoutria japonica,1,707
2001,1kmE3917N3079,2889173,Reynoutria japonica,1,707
2001,1kmE3917N3147,2889173,Reynoutria japonica,1,700
2001,1kmE3918N3091,2889173,Reynoutria japonica,1,700
2001,1kmE3918N3093,2889173,Reynoutria japonica,1,700
2001,1kmE3918N3133,2889173,Reynoutria japonica,1,700
2001,1kmE3919N3082,2889173,Reynoutria japonica,1,700
2001,1kmE3919N3094,2889173,Reynoutria japonica,1,700
2001,1kmE3920N3094,2889173,Reynoutria japonica,1,700
2001,1kmE3920N3099,2889173,Reynoutria japonica,1,700
2001,1kmE3920N3123,2889173,Reynoutria japonica,1,700
2001,1kmE3921N3059,2889173,Reynoutria japonica,1,707
2001,1kmE3921N3090,2889173,Reynoutria japonica,1,707
2001,1kmE3921N3095,2889173,Reynoutria japonica,2,700
2001,1kmE3922N3058,2889173,Reynoutria japonica,1,707
2001,1kmE3922N3113,2889173,Reynoutria japonica,1,700
2001,1kmE3923N3124,2889173,Reynoutria japonica,1,700
2001,1kmE3924N3044,2889173,Reynoutria japonica,1,49
2001,1kmE3924N3101,2889173,Reynoutria japonica,1,700
2001,1kmE3924N3116,2889173,Reynoutria japonica,1,700
2001,1kmE3924N3123,2889173,Reynoutria japonica,1,700
2001,1kmE3925N3110,2889088,Reynoutria sachalinensis,1,700
2001,1kmE3925N3130,2889173,Reynoutria japonica,1,700
2001,1kmE3925N3141,2889173,Reynoutria japonica,1,700
2001,1kmE3926N3100,2889173,Reynoutria japonica,2,700
2001,1kmE3926N3101,2889173,Reynoutria japonica,1,700
